title,year,abstract,journal,authors
"Machine Learning-Enhanced Play Fairway Analysis for Uncertainty Characterization and Decision Support in Geothermal Exploration. Energies 2022, 15, 1929",2022,"Geothermal PFA studies typically divide the geothermal system into enthalpy (heat),  maps  reveal geothermal fairways inclusive of both surface-visible and blind geothermal systems.",NA,"['RC Holmes', 'A Fournier']"
Interpreting the Structural of the Montserrat Geothermal System Using Machine Learning,2020,"Utilizing variations in all three geophysical parameters, we interpret cluster 3 as the  geothermal reservoir of the Montserrat geothermal system made up of higher alteration minerals.",Proceedings World Geothermal …,"['RA Basant', 'GA Ryan']"
Fracture Parameter Inversion in Geothermal Reservoir Using Deep Learning,2024,"and optimizing well performance in geothermal energy production, unconventional reservoirs  The developed inversion method was implemented on a representative geothermal model",Offshore Technology Conference …,"['S Sun', 'W Wang', 'Y Su', 'Y Deng', 'H Li']"
Advancing Geothermal Drilling Through Enhanced Mechanical Specific Energy Equation and Machine Learning Validation,2024,geothermal drilling optimization. The second part of the study expanded on the EMSE and  investigated the capability of datadriven machine learning  of geothermal drilling performance,NA,['A Al-asadi']
Single imputation methods applied to a global geothermal database,2018,"In the exploitation stage of a geothermal reservoir, the  the temperature of deep geothermal  reservoirs from the analysis  ) with measurements of BHT and geothermal fluid of eight main",… on Artificial Intelligence …,"['RFM Alelhí', 'SB Guillermo', 'DG Lorena']"
Discovering the hidden geothermal signatures of southwest New Mexico,2021,"geothermal resources. This study demonstrates the applicability of a novel unsupervised  machine learning method for characterizing the geothermal  to analyze diverse geothermal,",NA,"['VV Vesselinov', 'B Ahmmed', 'MK Mudunuru', 'S Karra']"
"Machine Learning on the Geochemical Characteristics of Low-, Medium-, and Hot-temperature Geothermal Resources in the Great Basin, USA",2021,"in the dataset that are representative of hidden geothermal resources. In this study, ML   geothermal resource. Results show that major cations/anions define low-temperature geothermal",NA,"['B Ahmmed', 'VV Vesselinov', 'MK Mudunuru']"
The importance of long-term well management in geothermal power systems using fuzzy control: A Western Anatolia (Turkey) case study,2020,"of artificial intelligence methods for different purposes in geothermal systems has been  started in recent years, methods such as artificial neural networks, machine learning can enable",Energy,['FST Haklıdır']
Artificial intelligence-based prediction and analysis of the oversupply of wind and solar energy in power systems,2021,"2(d) also shows a slight increase in the production of renewable energy (including biomass  and geothermal) can be observed from 2015 to 2020, which is a similar trend to that of solar",Energy conversion and …,"['MH Shams', 'H Niaz', 'B Hashemi', 'JJ Liu', 'P Siano']"
Comparative analysis of machine learning techniques for predicting drilling rate of penetration (ROP) in geothermal wells: A case study of FORGE site,2024,"In the scope of our study, the ROP of a geothermal well is assessed using ten distinct ML  algorithms: (1) K-nearest neighbor (KNN), (2) Support Vector Machine (SVM), (3) RF, (4)",Geothermics,"['T Yehia', 'M Gasser', 'H Ebaid', 'N Meehan', 'ER Okoroafor']"
A proposed HAZOP based upgradation model for improvement in existing industrial practices: a geothermal energy industry case study,2023,"Tools can be developed to address several complex situations, such as drilling site  locations in the industry in just minutes, by combining ML and artificial intelligence (AI) with",International Journal of Energy …,"['V Pandey', 'A Sircar', 'K Yadav', 'N Bist']"
Optimization of thermodynamic performance with simulated annealing algorithm: A geothermal power plant,2021,"Given the increasing demand for energy, geothermal energy  optimization studies for  geothermal power generation systems  in previous studies to represent geothermal ORC and",Renewable Energy,"['G Çetin', 'A Keçebaş']"
"Application of artificial intelligence techniques for modeling, optimizing, and controlling desalination systems powered by renewable energy resources",2023,", and TVC could use geothermal or solar thermal energy as a source of heat required for  phase change. Geothermal energy is limited to regions where geothermal fields are located,",Journal of Cleaner …,"['ET Sayed', 'AG Olabi', 'K Elsaid', 'M Al Radi']"
Quantifying the technical geothermal potential from shallow borehole heat exchangers at regional scale,2021,We use a planning horizon ( t d i m ) of 50 years as suggested by the geothermal norm of the  Swiss society of engineers and architects (SIA) [34]. The SIA norm defines the requirements,Renewable Energy,"['A Walch', 'N Mohajeri', 'A Gudmundsson', 'JL Scartezzini']"
Unveiling the Potential of Random Undersampling in Geothermal Lithology Classification for Improved Geothermal Resource Exploration,2024,in the prediction of the geothermal lithology with an F1 score  robust machine learning  models for geothermal resource  class imbalance in machine learning for geothermal lithology,SPE Nigeria Annual …,"['FC Obika', 'NU Okereke', 'FM Eze']"
"Application of artificial intelligence for prediction, optimization, and control of thermal energy storage systems",2023,A geothermal-based aquifer for seasonal energy storage was considered an active part  of a smart grid [57]. At least a single pair of integrated wells is included in most of the aquifer,Thermal Science and …,"['AG Olabi', 'AA Abdelghafar', 'HM Maghrabie']"
Deep geothermal exploration by means of electromagnetic methods: New insights from the Larderello geothermal field (Italy),2017,expert scientists in the field of geothermal energy. She was the  ) data were acquired in the  Larderello geothermal field (Italy) in  data from the National Geothermal Database and from,NA,['A Santilano']
Predicting terrestrial heat flow in North China using multiple geological and geophysical datasets based on machine learning method,2023,", a robust geothermal heat flow prediction model can be obtained. The machine learning   ), which is a mature, supervised machine learning technique initially proposed by Friedman (",Energies,"['S Xu', 'C Ni', 'X Hu']"
Exploration and Production Risk Mitigation for Geothermal Adoption in the Energy Transition,2021,"The potential synergy between the oil & gas and geothermal offers an opportunity for  to  adoption of geothermal. In this thesis, risk-mitigation strategies for geothermal target two phases",NA,['RC Holmes']
"Imaging Many Potential Geothermal Structures in Kyushu, SW Japan through Advanced Integration Analyses of 3D Surface Wave Tomography and Machine Learning …",2023,"geothermal fields reflected areas of potential geothermal structure in this region. In Kuju  volcanic geothermal  zonings of 3D low S-wave geothermal reservoirs, 3D anisotropic structure,",AGU Fall Meeting Abstracts,"['C Chhun', 'T Tsuji', 'T Ikeda']"
"Data Driven Web Based Simulation for Geothermal Heat Pump Drilling Around Saxony, Germany",NA,"geothermal wells. To achieve this, a web-based automated simulation that is empowered by  statistical models, and machine learning  datasets relevant to geothermal heat pump wells",NA,['BT Günel']
"Environmental, economic, and social impacts of geothermal energy systems",2021,implementing of geothermal projects. Key barriers to deployment of geothermal resources   and highlight options for enhancing geothermal capacity and energy production on a global,… and Sustainable Energy …,"['M Soltani', 'FM Kashkooli', 'M Souri', 'B Rafiei']"
Probing fractured reservoir of enhanced geothermal systems with fuzzy-genetic inversion model: Impacts of geothermal reservoir environment,2024,"by traditional geothermal exploration technology. As the development of Artificial Intelligence  (AI), AI has huge potential in exploring geothermal reservoir environments in the future.",Energy,"['C Zhou', 'G Liu', 'S Liao']"
Solar Thermal and Geothermal Hybrid Process,2011,"2) Neuro-fuzzy theory: in the field of artificial intelligence, neural networks and fuzzy logic  can be combined in neurofuzzy systems (NFS) in order to achieve both properties of readability",2011 IEEE Green Technologies …,"['J Nou', 'A Traore', 'T Talbert']"
Bayesian Evidential Learning Approach to Uncertainty Quantification in THM Model of Geothermal Energy Extraction in Deep Mines,2024,"geothermal systems but also helps meeting the cooling requirements for deep mining operations.  In this study, a thermo-hydro-mechanical model of geothermal  changes in geothermal",NA,"['L Zhang', 'A Daniilidis', 'AC Dieudonné', 'T Hermans']"
"Multimodal Machine Learning for 3D Characterization of Hidden Groundwater and Geothermal Resources: Case Study, Lāna 'i Hawaii",NA,and geothermal resources simultaneously? We present a multimodal machine learning (MML  and state variables) along a groundwater-geothermal continuum. The success of this MML,NA,"['MJ Friedel', 'N Lautze', 'E Wallin', 'A Rothfolk']"
Rift zones as a case study for advancing geothermal occurrence models,2013,An expert system is a form of artificial intelligence that implements expert analysis  methods and knowledge to process large data sets and emulate human decision making.,… : Thirty-Eighth Workshop on Geothermal …,"['D King', 'E Metcalfe']"
Review of high-temperature geothermal drilling and exploitation technologies,2023,"However, due to some particular conditions in geothermal development, such as high   applicable in the geothermal industry. In this paper, the state-of-the-art geothermal drilling, and",Gondwana Research,"['X Song', 'G Li', 'Z Huang', 'Y Shi', 'G Wang', 'G Song']"
"Performance prediction, optimal design and operational control of thermal energy storage using artificial intelligence methods",2022,"That is why it is a popular tool to search the optimization solution in many areas including  the TES and other scenarios like geothermal power plant [111], heat exchanger [112] and fuel",Renewable and Sustainable Energy Reviews,"['Z He', 'W Guo', 'P Zhang']"
Machine learning techniques applied to the Nevada geothermal play fairway analysis,2021,"machine learning techniques to the Nevada geothermal play fairway analysis (PFA), which  provided geothermal  The motivation for this project is to support the evaluation of geothermal",NA,['CM Smith']
Comprehensive study of the artificial intelligence applied in renewable energy,2024,"of geothermal exploration [138]. Using both surface and subsurface data, artificial intelligence  was initially applied to a fairway investigation for the regional assessment of geothermal-",Energy Strategy Reviews,"['A Bennagi', 'O AlHousrya', 'DT Cotfas', 'PA Cotfas']"
A Machine Learning Approach for Stress Prediction in Granitoid Formation at FORGE Geothermal Site Using Compressional and Shear-wave Slowness,NA,dataset was obtained from the true triaxial ultrasonic velocity (TUV) experiments on lower  and upper granitoid formations retrieved from well 16A(78)-32 of the Utah FORGE geothermal,NA,"['A Mustafa', 'M Kelley', 'G Lu', 'AP Bunger']"
Subsurface Characterization and Machine Learning Predictions at Brady Hot Springs Results,2021,Geothermal power plants typically  machine learning to produce models that enable  strategies for the mitigation of decreased heat and power production rates over time for geothermal,NA,"['KF Beckers', 'D Duplyakin', 'MJ Martin', 'HE Johnston']"
Geochemical Evaluation of a Geothermal Region for the Trace Elements Related to the Subsurface Mineralization Using Machine Learning Methods.,2024,This paper aims to analyze the stream sediment data of the Mianeh geothermal region in  NW of Iran for geothermal pathfinders and new insight into probable subsurface mineralization.,Jordan Journal of Earth & …,"['F Moradpouri', 'H Sabeti']"
Distribution characteristics and utilization of shallow geothermal energy in China,2020,shallow geothermal resources within a depth of 200 m in China. This geothermal resource is   The recoverable amount of shallow geothermal energy (SGE) is equivalent to 7 × 10 12 kg,Energy and buildings,"['YS Xu', 'XW Wang', 'SL Shen', 'A Zhou']"
Prospectivity analyses of the Utah FORGE Site using unsupervised machine learning,2021,"In this paper, we presented a geothermal prospectivity analysis by an unsupervised machine  learning (ML) called non-negative matrix factorization with customized k-means clustering (","Geothermal Rising, San Diego, CA","['B Ahmmed', 'VV Vesselinov']"
"Getting data out of the ground: modern challenges facing EGS collab, the DOE geothermal data repository, and the geothermal industry",2019,The oil and gas industry is leveraging Artificial Intelligence (AI) to shift the processing of  large amounts of data from the cloud to the edge. Where volumes of data would be shipped to a,44th Workshop on Geothermal Reservoir …,"['J Weers', 'J Huggins']"
Renewable hybrid energy systems using geothermal energy: hybrid solar thermal–geothermal power plant,2021,"of a single flash steam geothermal power plant and a solar  , and the simulations for the  geothermal power plant (GPP) are  PTC and single flash geothermal power plant is presented.",… Journal of Low …,"['M El Haj Assad', 'MH Ahmadi']"
Machine Learning-Based Imputation of Bottom Hole Temperature for Enhanced Geothermal Resource Assessment in the US and Canada,2024,address this challenge by leveraging machine learning techniques to predict a BHT   geothermal datasets. We also develop a comprehensive workflow tailored for assessing geothermal,NA,"['PC Eze', 'A Blizzard', 'R Kumkar', 'C Velasquez', 'T Hagler']"
"Heat flux in volcanic and geothermal areas: Methods, principles, applications and future directions",2023,"geothermal areas are crucial to studying the thermodynamic process, locating the activity of  a geothermal field, evaluating geothermal  in volcanic and geothermal areas and its potential",Gondwana Research,"['Y Wang', 'Z Pang']"
Thermodynamic analysis and multi-objective optimization of a novel power generation system driven by geothermal energy,2020,for making effective use of geothermal resources. Geothermal energy is first utilized by   recycling system could greatly improve the geothermal water utilization degree compared to,Energy,"['Z Yu', 'R Su', 'C Feng']"
Evaluating the Geothermal Energy Potential of the Red River Formation in North Dakota Using Machine Learning Techniques,NA,Geothermal resource assessment in the Red River formation is essential for informed  decisions about geothermal  The geothermal resource in the deeper formations of the Williston,Available at SSRN …,"['M Metwally', 'AM Koray', 'E Gyimah', 'H Rahnema']"
Model-based monitoring of geothermal assets,2022,The operation of the geothermal systems deals with several challenges caused by the  the  geothermal applications. This framework enables an integrated monitoring of the geothermal,NA,"['R Octaviano', 'S Dussi', 'H de Zwart', 'PS Omrani']"
Estimation of bottom hole and formation temperature by drilling fluid data: a machine learning approach,2019,to estimate geothermal well temperatures and is believed to be very beneficial for practicing  engineers to save a significant amount of time and cost in geothermal development projects.,… on Geothermal …,"['S Gul', 'V Aslanoglu', 'MK Tuzen']"
Process modelling of geothermal drilling system using digital twin for real-time monitoring and control,2019,"fusion, machine learning and artificial intelligence to  geothermal drilling challenges through  the implementation of a drilling process digital twin. The underground section of geothermal",Designs,"['NO Osinde', 'JB Byiringiro', 'MM Gichane', 'H Smajic']"
Comparing Drilling Anomaly Prediction by Purely Data-Driven and Hybrid Analysis Methods-Case Study of Utah FORGE Geothermal Wells,2024,"In addition, the authors would like to acknowledge the US Department of Energy for their  FORGE initiative, which includes the sharing of geothermal wells data, the ""fuel"" for our study.",SPE/IADC Drilling Conference and …,"['AC Montes', 'P Ashok', 'E van Oort']"
Efficient two-stage modeling of heat plume interactions of geothermal heat pumps in shallow aquifers using convolutional neural networks,2024,This paper presents an innovative approach to model the impact of geothermal heat pumps  on groundwater temperature and the interaction of multiple heat plumes within the aquifer.,Geoenergy Science and Engineering,"['J Pelzer', 'M Schulte']"
"A new well pattern of cluster-layout for deep geothermal reservoirs: case study from the Dezhou geothermal field, China",2020,"geothermal reservoirs to different well patterns rather than the fluid flow in geothermal wells,  we did not explicitly include geothermal  mass exchanges between geothermal wells and",Renewable Energy,"['G Liu', 'G Wang', 'Z Zhao', 'F Ma']"
Detecting Subsurface Faults at the Blue Mountain Geothermal Field Using a Machine Learning Approach,NA,,NA,"['K Gao', 'L Huang', 'Y Zheng', 'T Cladouhos']"
Understanding injection-induced seismicity in enhanced geothermal systems: From the coupled thermo-hydro-mechanical-chemical process to anthropogenic …,2020,"to the development of geothermal energy, because the  , predict, and control during geothermal  energy extraction. The  (THMC) processes in enhanced geothermal systems (EGS), and (",Earth-science reviews,"['TD Rathnaweera', 'W Wu', 'Y Ji', 'RP Gamage']"
A critical review of power generation using geothermal-driven organic Rankine cycle,2021,"Various approaches for the optimization of such hybrid systems that included artificial  intelligence are considered from the energy, exergy and power generation perspective. Moreover,",Thermal Science and …,"['R Loni', 'O Mahian', 'G Najafi', 'AZ Sahin', 'F Rajaee']"
The evolutionary artificial intelligence-based algorithm to find the minimum GHG emission via the integrated energy system using the MSW as fuel in a waste heat …,2022,to be optimized via artificial intelligence to reduce the  The artificial intelligence-based  genetic algorithm is proposed  The manufacture of hydrogen via geothermal sources was,Sustainable Energy …,"['T Hai', 'S Alsharif', 'HA Dhahad', 'EA Attia']"
Greenland geothermal heat flow database and map (version 1),2021,We derive a spatial heat flow map across our Greenland domain using a machine learning  approach  We employ the machine learning approach to estimate geothermal heat flow at the,Earth System …,"['W Colgan', 'A Wansing', 'K Mankoff']"
"Cloud Fusion of Big Data and Multi-Physics Models using Machine Learning for Discovery, Exploration and Development of Hidden Geothermal Resources …",2021,geothermal production ○ Develop ML model to efficiently predict the system behavior ●  GeoDT predicts geothermal  to identify multivariate factors that control geothermal production,NA,['VV Vesselinov']
Subsurface temperature estimation in a geothermal field based on audio-frequency magnetotelluric data,2022,"In this paper, the technique was evaluated in a geothermal field in Japan to delineate the   under a geothermal field based on a two-dimensional resistivity model from an AMT survey.",Exploration Geophysics,"['M Maryadi', 'H Mizunaga']"
INVESTIGATION OF GEOTHERMAL POTENTIAL WITH MACHINE LEARNING IN MAINLAND PORTUGAL,2022,parameters in geothermal exploration throughout Mainland Portugal: Geothermal gradient   zones with higher geothermal gradient and surface heat flow density and can be used to aid,NA,['ML do Nascimento']
Groundwater Hydrothermal Circulation Modeling in Crustal Fault Zones: Geothermal Systems Uncertainty and Risk Assessment,2024,"potential reservoirs for high-enthalpy geothermal systems. The combination of  geothermal  system. However, certain blind or hidden geothermal systems, holding significant geothermal",85th EAGE Annual Conference …,"['G Pérez-Drago', 'S Arsenikos', 'T Piolle']"
Predicting rare earth element potential in produced and geothermal waters of the United States via emergent self-organizing maps,2022,"machine learning, in the multidimensional interpretation and prediction of rare earth element  (REE) abundance in produced and geothermal  from produced and geothermal waters) was",Energies,"['MA Engle', 'CW Nye', 'G Neupane', 'SA Quillinan']"
Thermochronological Modeling with Artificial Intelligence,2023,"of the geothermal gradient: changes in temperature across depth. Geothermal gradients vary   The first category of variables discussed here, the influences on the geothermal gradient",NA,['A Buchanan']
Preliminary report on applications of machine learning techniques to the Nevada play fairway analysis,2023,The study area includes ~85 active geothermal systems as  new geothermal systems in the  Great Basin region. Major objectives include: 1) integrate ML techniques into the geothermal,Stanford Geothermal …,"['J Faulds', 'S Brown', 'M Coolbaugh', 'J DeAngelo']"
"Multi-objective optimization of combined cooling, heating and power system integrated with solar and geothermal energies",2019,"Geothermal energy can be used by the heat pump as heat  integrated with solar and/or  geothermal resources. For example,  classical methods and artificial intelligence algorithms have",Energy conversion and management,"['F Ren', 'J Wang', 'S Zhu', 'Y Chen']"
Deep learning and geochemical modelling as tools for solute geothermometry,2022,"Therefore, the chemical composition of a discharging geothermal fluid is used to infer the   Consequently, the field of artificial intelligence offers powerful methods to solve complex",European Geothermal …,"['LH Ystroem', 'M Vollmer', 'F Nitschke']"
Economic analysis of exergy efficiency based control strategy for geothermal district heating system,2013,", m ̇ r is the flow rate of the reinjected geothermal fluid, m ̇ mp is the flow rate of the remained  geothermal fluid in mixing pool, and m ̇ d is the mass  Artificial intelligence for buildings",Energy conversion and management,"['A Keçebaş', 'İ Yabanova']"
Conventional Geothermal Systems and Unconventional Geothermal Developments: An Overview,2024,This paper provides an overview of conventional geothermal systems and unconventional  geothermal developments as a common reference is needed for discussions between energy,Open Journal of Geology,"['M Khodayar', 'S Björnsson']"
A new approach to development and validation of artificial intelligence systems for drilling,2020,Drilling operations for geothermal and hydrocarbon energy involves technology that  and  tested for development and validation of Artificial Intelligence (AI) systems for drilling operations,2020 15th IEEE …,"['JE Gravdal', 'R Ewald', 'N Saadallah']"
"Geothermal Water Quality Index Assessment for Irrigation Purpose with Multicomputing Modeling Coupled with GIS: Case of El Hamma, Southeastern Tunisia",2024,as an indicator to evaluate the suitability of geothermal water for irrigation. It was found that   ensuring practicality and confidence for the artificial intelligent model. Findings showed that,"Water, Air, & Soil …","['B Haddaji', 'M Atoui', 'K Wederni', 'B Agoubi']"
Artificial intelligence techniques applied on renewable energy systems: a review,2022,"AI is complicated, but it lowers error and aspires for better precision, making energies  more intelligent. This paper presents an overview of commonly utilized artificial intelligence (AI)",Proceedings of International …,"['AAA Lateef', 'SI Ali Al-Janabi', 'OA Abdulteef']"
Rock typing in geothermal reservoirs of New Zealand,2015,New Zealand’s geothermal systems contribute with over 14 the geology of volcanic  geothermal systems to satisfy computer  ’s geothermal reservoirs where drill-cuttings are the main,SPWLA Annual Logging Symposium,"['AM Prieto', 'R Archer']"
Probing geothermal heat source based on the fuzzy inference of heat process,2023,"methods are gradually playing an important role in geothermal exploration. By combining  the Data Science, artificial intelligence (AI) methods have been applied in some aspects of",Sustainable Energy Technologies and …,"['C Zhou', 'C Xu', 'G Liu', 'S Liao']"
Introduction to the numerical modeling of groundwater and geothermal systems,2010,"geological model corresponds to the Los Azufres, Mexico geothermal field.  to a geothermal  field in Mexico, giving the student a practical example of how to approach the geothermal",… of Groundwater and Geothermal …,"['J Bundschuh', 'MCS Arriaga']"
Artificial Intelligence and Human‐Induced Seismicity: Initial Observations of ChatGPT,2023,", specifically by fluid injection in a geothermal plant. According to the  The geothermal plant  located near Pohang had been  , and geothermal energy production can trigger earthquakes.",Seismological …,"['MP Wilson', 'GR Foulger']"
Rapid Monitoring of Flood Events in Geothermal Surrounding Areas Using Machine Learning and Multi-sensor Data.,2024,stakeholders to consider geothermal exploration while taking  in geothermal surrounding  areas using machine learning  in Ciwidey and Pasirjambu as geothermal surroundings. The,…,"['FA Kurnianto', 'EA Nurdin', 'EI Pangastuti']"
Digging Deeper with Implicit Modelling: a Groundbreaking Geothermal Exploration Approach in the Absence of Adequate Seismic Data,2023,"To identify, appraise and produce a geothermal resource, a  This article will introduce  implicit modelling for geothermal  , propelling the ongoing Artificial Intelligence revolution.",First Break,['O Ward']
Enhancement technology of underground water flow field in coal mine to improve energy efficiency of heat pump system in geothermal energy development,2023,", the underground pumps can utilize shallow geothermal energy to cool and heat within one   Figure 1 shows geothermal energy series 1 geothermal energy utilization ground source",Thermal …,"['W Peng', 'S Chen', 'K Lyu', 'C Xiao', 'X Jyu', 'Y Sun']"
An artificial intelligence-based solar radiation prophesy model for green energy utilization in energy management system,2022,"The utilization of sustainable green energy resources such as wind power, geothermal  power, biomass, and hydropower can be used for this purpose[2].These assets can be used as",… Energy Technologies and …,"['F Alassery', 'A Alzahrani', 'AI Khan', 'K Irshad']"
Optimal site selection for geothermal heated greenhouses in cold climates: a fuzzy logic and geographic information system approach,2024,"geothermal heated greenhouses in the agricultural industry. The research involves two main  componentsf: assessing the geothermal  suitable for constructing geothermal greenhouses,",Clean Energy,"['A Mirabadi', 'S Minaei', 'Y Noorollahi', 'M Almasi']"
Strategy for Increasing Geothermal Power Plant Capacity Through Organic Rankine Cycle Integration Using Matlab Modeling,2024,"on geothermal energy as a reliable and environmentally friendly alternative. Geothermal  power  However, the efficiency of geothermal power plants can be significantly enhanced by",… Intelligence …,"['P Siagian', 'H Alam', 'RR Putra']"
Drilling data from an enhanced geothermal project and its pre-processing for ROP forecasting improvement,2018,"Pohang geothermal project The drilling data come from a geothermal wellbore near the   It aims to demonstrate enhanced geothermal technology, and is expected to produce 1 MW",Geothermics,"['MB Diaz', 'KY Kim', 'TH Kang', 'HS Shin']"
Artificial Intelligence and a Digital Twin are effecting building energy Management,2022,"With the help of two hundred 150 m deep vertical geothermal probes, the current research  provides GSHP (COP 3.8 winters, 5.5 summers) to the building complex. A/C in the winter, A/","… , Intelligent …","['G Deena', 'K Gulati', 'R Jha', 'UR Bajjuri']"
Reviewing the modeling aspects and practices of shallow geothermal energy systems,2020,Shallow geothermal energy systems (SGES) may take different forms and have recently taken  considerable attention due to energy geo-structures (EGS) resulting from the integration of,Energies,"['P Christodoulides', 'A Vieira', 'S Lenart', 'J Maranha']"
Digital Twins for the Geothermal Industry: Theory and Practice,2020,"With the development of big data analytics, artificial intelligence, the internet of things (IoT)  and other new information technologies, there have been many leaps-forward in the field of",… Geothermal …,"['W Yu', 'M Dabbour', 'M Proctor']"
Geothermal energy at different depths for district heating and cooling of existing and future building stock,2022,"heat source [15], geothermal system and solar collectors [16, on geothermal energy [18]),  the contribution of geothermal  to classify geothermal systems according to geothermal fluid",Renewable and Sustainable Energy Reviews,"['D Romanov', 'B Leiss']"
The value of information from horizontal distributed acoustic sensing compared to multicomponent geophones via machine learning,2021,", although in 2019, geothermal industries globally recorded its  geothermal power is on the  brink of a boom [32]. This section of the paper will provide a high-level picture of geothermal",Journal of …,"['SF Jreij', 'WJ Trainor-Guitton']"
Artificial intelligence in the field of nanofluids: A review on applications and potential future directions,2019,Artificial Intelligence (AI) algorithms are becoming beneficial as substitute methods to  conventional approaches or as components of incorporated systems. They have been utilized for,Powder Technology,"['M Bahiraei', 'S Heshmatian', 'H Moayedi']"
"Risk assessment of fracturing induced earthquake in the Qiabuqia Geothermal Field, China",2020,"geothermal field is one of the three identified geothermal fields in Gonghe Basin. The total  area of geothermal field is more than 790 km 2 , and the area of the Qiabuqia geothermal field",Energies,"['K Shan', 'Y Zhang', 'Y Zheng', 'L Li', 'H Deng']"
Artificial Intelligence and Data Analytics for Energy Exploration and Production,2022,"intelligence as well as dealing with linguistic and imprecise data and rules. Fred Aminzadeh  is an expert in artificial intelligence  His work experience includes fossil energy, geothermal",NA,"['F Aminzadeh', 'C Temizel', 'Y Hajizadeh']"
Modelling a novel scheme of mining geothermal energy from hot dry rocks,2022,"On the basis of a conceptual model for an Excavation based Enhanced Geothermal System  (EGS-E), which proposed to extract heat from Hot Dry Rock at depth through dominantly",Applied Sciences,"['H Li', 'K Ji', 'Y Tao', 'C Tang']"
Applications of machine learning in harnessing of renewable energy,2021,"of machine learning application for the effective harnessing of renewable energy sources  such as wind energy, geothermal  the role of artificial intelligence and machine learning for",Advances in Clean Energy …,"['C Daniel', 'AK Shukla', 'M Sharma']"
A signal processing approach for analysis of fracture injection test in geothermal reservoirs: A case study on the utah FORGE formation,2021,"In this paper, a novel framework to analyze DFIT in geothermal reservoirs is presented. Our   fluid, nearly all studies on DFIT in geothermal reservoirs have ignored this effect and focused",SPE hydraulic fracturing …,"['I Eltaleb', 'A Rezaei', 'MY Soliman']"
SmartTensors: Unsupervised and physics-informed machine learning framework for the geoscience applications,2022,"Here, we will focus on the analysis of geothermal  new geothermal resources. The available  regional geochemical data are expected to provide critical information about the geothermal",… Exposition and Annual …,"['B Ahmmed', 'VV Vesselinov']"
Evaluation of Machine Learning Models Based on Different Data Preprocessing Methods of Predicting Geothermal Heat Flow in China,NA,Estimating geothermal heat flow (GHF) is critical for understanding Earth's thermal regime  and facilitating geothermal exploration. Machine learning techniques offer a promising,NA,"['J He', 'K Li', 'L Jia']"
… study of the thermal performance of an earth air heat exchanger and seasonal storage systems: Experimental validation of Artificial Neural Networks model,2022,geothermal systems: an earth air heat exchanger (EAHE) and seasonal storage systems.  The energy efficiency of a combined geothermal  that AI (Artificial intelligence) models are not,Journal of Energy …,"['MH Benzaama', 'S Menhoudj', 'AM Mokhtari']"
Application of artificial intelligence methods for hybrid energy system optimization,2016,"There are different types of renewable energy structures, such as wind, solar, hydro-electric,  water, ocean, biomass and geothermal energy, which have unique benefits and are suitable",Renewable and sustainable energy …,"['SM Zahraee', 'MK Assadi', 'R Saidur']"
Techno-economic-environmental study and artificial intelligence-assisted optimization of a multigeneration power plant based on a gas turbine cycle along with a …,2024,"liquefaction cycle integrated with geothermal absorption pre- [46], studied a new system  driven by geothermal energy. The  assessment (LCA) on a geothermal-driven system with LNG",Applied Thermal …,"['T Hai', 'MM Alhaider', 'P Ghodratallah']"
"… and approaches for biohydrogen generation from algal towards sustainable energy optimization: Recent innovations, artificial intelligence, challenges, and future …",2023,Artificial intelligence is a tool to help for this utilization and becoming much better in recent   This review goals to run over the latest innovations and artificial intelligence approaches for,International Journal of …,"['G Zhang', 'J Liu', 'X Pan', 'AM Abed', 'BN Le', 'HE Ali']"
A review on geothermal Organic Rankine cycles: modeling and optimization,2021,"geothermal-based ORCs, in the present review work, the modeling principles of a simple  geothermal- Subsequently, studies on the modeling of different geothermal-assisted ORCs and",Journal of Thermal …,"['A Haghighi', 'MR Pakatchian', 'MEH Assad']"
Geothermal Rapid Screening,2022,machine learning techniques are applied using a commercial artificial intelligence and machine  learning  is a pattern that could help for the geothermal analysis. It also extrapolates the,EAGE GET …,"['A Parent', 'C Vogt', 'C Bonomi', 'T Fuchs']"
Impact of renewable energy utilization and artificial intelligence in achieving sustainable development goals,2021,"of hydropower, 0.1 GW of new geothermal power generating capacity came online in 2020,   In the same context, after years of development and evolution, artificial intelligence (AI) now",Energy Reports,"['MA Hannan', 'AQ Al-Shetwi', 'PJ Ker', 'RA Begum']"
Estimation of Downhole Inclination in Directionally Drilled Geothermal Wells,2021,"1.3 Artificial Neural Networks (ANNs) As a result of technology progress over the last decades,  Artificial Intelligence (AI) techniques like Artificial Neural Networks (ANNs) have received",World geothermal congress,"['T Burak', 'S Akin']"
A Multi-LASSO model to forecast induced seismicity at enhanced geothermal systems,2024,"Geothermal energy is an attractive option for the renewable energy industry, and especially  enhanced geothermal systems (EGS), which can be implemented virtually anywhere on",Geoenergy Science and …,"['A Mignan', 'AP Rinaldi', 'F Lanza', 'S Wiemer']"
Forecasting the biomass-based energy potential using artificial intelligence and geographic information systems: A case study,2022,"hydroelectric, geothermal and  artificial intelligence and GIS methods based on statistical  data. To the best of our knowledge this is the first approach consisting of artificial intelligence","… Science and Technology, an International Journal","['AA Senocak', 'HG Goren']"
